 B-field(Tesla)    Berror(Tesla)      Current(Ampere)
 5.8562e-07        3.1760e-07          0.6421
 2.1208e-06        2.6659e-07          8.9579
 3.2008e-06        3.0017e-07         14.2955
 2.2324e-06        2.6092e-07          6.6224
 3.2434e-06        3.3060e-07         11.9198
 1.0114e-06        2.8447e-07          4.8424
 3.2283e-06        2.6412e-07         12.5273
 2.1829e-06        2.9694e-07          8.8188
 2.3781e-06        2.5227e-07          9.3041
 2.7178e-06        3.6308e-07         12.0322
 1.2127e-06        3.0507e-07          1.7514
 3.4683e-06        2.8139e-07         14.7410
 9.7723e-07        2.7279e-07          3.9070
 2.2239e-06        3.3959e-07          8.6116
 8.3982e-07        3.2091e-07          2.5756
 2.5695e-06        2.9132e-07         12.0043
 3.0681e-06        2.8672e-07         11.0923
 3.8998e-06        3.1860e-07         17.1002
 2.5889e-06        2.6649e-07          8.1964
 1.7230e-06        2.9006e-07          4.1177
 1.3220e-06        3.4861e-07          2.6468
 1.2502e-06        2.7248e-07          3.9152
 2.5565e-06        2.5908e-07          8.6311
 2.3775e-06        3.2473e-07         11.6697
 3.8485e-06        3.1190e-07         18.9451
 3.4476e-06        3.1231e-07         16.7707
 9.5621e-07        3.1687e-07          0.8092
 7.8966e-07        3.2767e-07          3.4233
 2.1368e-06        2.4199e-07          9.1374
 4.3975e-06        3.0872e-07         19.4326
 4.1139e-06        3.1912e-07         18.3023
 9.4580e-07        3.0623e-07          4.6233
 1.1427e-06        2.7689e-07          5.6033
 3.1240e-06        3.0085e-07         12.8754
 9.1155e-07        2.8464e-07          4.4383
 3.2072e-06        3.3745e-07         12.0461
 2.6828e-06        3.4766e-07         11.0460
 2.5221e-06        3.0836e-07          9.2801
 2.7127e-06        3.1239e-07         11.0100
 3.1566e-06        3.1909e-07         13.8081
 3.2817e-07        2.6828e-07          0.6840
 2.5579e-06        2.8159e-07          8.3330
 1.0511e-06        2.8055e-07          3.4883
 4.0077e-06        3.1276e-07         16.2368
 2.1974e-06        3.0767e-07         10.4502
 1.0732e-06        3.5490e-07          1.6674
 3.6677e-06        3.2967e-07         15.9279
 3.5243e-06        3.4352e-07         16.4021
 3.9643e-06        3.1688e-07         15.7336
 2.3304e-06        2.6168e-07          8.1630
 2.6484e-06        3.2822e-07         10.2240
 3.4916e-06        3.2445e-07         14.9387
 3.1668e-06        3.1823e-07         14.4827
 3.9900e-06        3.4619e-07         17.8201
 6.8378e-07        3.0038e-07          2.0752
 2.4423e-06        2.9085e-07          9.9961
 4.3718e-06        2.5472e-07         17.3470
 3.3577e-06        2.9187e-07         16.0078
 2.4616e-06        3.2052e-07         11.3104
 4.5083e-06        3.1994e-07         17.9294
 2.7829e-06        3.0457e-07         10.6162
 4.7817e-06        3.0084e-07         19.2533
 2.0258e-06        3.1431e-07          7.4442
 1.5350e-06        2.9697e-07          7.2048
 2.0757e-06        3.1555e-07          8.4531
 1.1892e-06        2.9476e-07          3.4178
 6.4619e-07        2.7686e-07          0.8086
 1.9142e-06        2.9367e-07          9.1468
 1.2249e-06        3.3562e-07          5.1313
 1.0490e-06        3.0628e-07          4.4436
 2.3138e-06        2.9053e-07         11.1938
 1.2386e-06        3.4327e-07          2.8765
 1.9536e-06        2.7498e-07          5.4591
 2.0301e-06        2.7597e-07          8.4902
 2.4079e-06        2.9180e-07          8.9807
 3.0026e-06        3.3693e-07         10.3644
 1.7610e-06        2.7667e-07          4.9121
 8.5086e-07        2.7382e-07          3.6458
 3.2805e-06        2.8719e-07         12.8732
 2.5456e-06        3.9037e-07         11.4605
 2.2115e-06        3.3287e-07          8.2670
 3.6972e-06        2.8551e-07         17.5725
 1.5367e-06        3.2186e-07          3.2391
 3.2876e-06        3.4580e-07         16.0772
 4.0554e-06        2.8409e-07         16.5968
 1.5077e-06        3.3730e-07          5.4604
 2.6831e-06        3.0904e-07         12.9237
 4.6008e-06        2.9306e-07         19.2676
 5.5526e-07        3.0900e-07          0.9138
 1.8047e-06        2.3745e-07          7.9597
 4.2843e-06        3.6417e-07         18.2218
 4.2259e-06        3.0472e-07         19.9500
 3.6295e-07        3.3712e-07          1.3023
 2.9768e-06        3.4618e-07         11.1780
 3.8588e-06        2.9719e-07         17.5170
 3.7779e-06        2.6550e-07         15.8762
 4.9354e-06        3.2900e-07         19.8092
 4.0735e-06        3.4367e-07         18.1013
