   t        counts         Error_Counts
    0.0    53.0000       7.2801
    2.5    60.0000       7.7460
    5.0    71.0000       8.4261
    7.5    77.0000       8.7750
   10.0    64.0000       8.0000
   12.5    54.0000       7.3485
   15.0    56.0000       7.4833
   17.5    56.0000       7.4833
   20.0    55.0000       7.4162
   22.5    58.0000       7.6158
   25.0    56.0000       7.4833
   27.5    58.0000       7.6158
   30.0    74.0000       8.6023
   32.5    46.0000       6.7823
   35.0    51.0000       7.1414
   37.5    77.0000       8.7750
   40.0    66.0000       8.1240
   42.5    51.0000       7.1414
   45.0    36.0000       6.0000
   47.5    58.0000       7.6158
   50.0    37.0000       6.0828
   52.5    50.0000       7.0711
   55.0    45.0000       6.7082
   57.5    56.0000       7.4833
   60.0    47.0000       6.8557
   62.5    36.0000       6.0000
   65.0    39.0000       6.2450
   67.5    43.0000       6.5574
   70.0    51.0000       7.1414
   72.5    48.0000       6.9282
   75.0    57.0000       7.5498
   77.5    43.0000       6.5574
   80.0    52.0000       7.2111
   82.5    50.0000       7.0711
   85.0    29.0000       5.3852
   87.5    49.0000       7.0000
   90.0    46.0000       6.7823
   92.5    44.0000       6.6332
   95.0    44.0000       6.6332
   97.5    32.0000       5.6569
  100.0    53.0000       7.2801
  102.5    47.0000       6.8557
  105.0    38.0000       6.1644
  107.5    32.0000       5.6569
  110.0    32.0000       5.6569
  112.5    49.0000       7.0000
  115.0    36.0000       6.0000
  117.5    38.0000       6.1644
  120.0    26.0000       5.0990
  122.5    35.0000       5.9161
  125.0    26.0000       5.0990
  127.5    33.0000       5.7446
  130.0    31.0000       5.5678
  132.5    39.0000       6.2450
  135.0    32.0000       5.6569
  137.5    26.0000       5.0990
  140.0    31.0000       5.5678
  142.5    32.0000       5.6569
  145.0    22.0000       4.6904
  147.5    28.0000       5.2915
  150.0    41.0000       6.4031
  152.5    28.0000       5.2915
  155.0    30.0000       5.4772
  157.5    28.0000       5.2915
  160.0    22.0000       4.6904
  162.5    24.0000       4.8990
  165.0    30.0000       5.4772
  167.5    25.0000       5.0000
  170.0    23.0000       4.7958
  172.5    34.0000       5.8310
  175.0    30.0000       5.4772
  177.5    29.0000       5.3852
  180.0    27.0000       5.1962
  182.5    33.0000       5.7446
  185.0    23.0000       4.7958
  187.5    35.0000       5.9161
  190.0    27.0000       5.1962
  192.5    21.0000       4.5826
  195.0    24.0000       4.8990
  197.5    20.0000       4.4721
  200.0    25.0000       5.0000
  202.5    27.0000       5.1962
  205.0    26.0000       5.0990
  207.5    26.0000       5.0990
  210.0    27.0000       5.1962
  212.5    21.0000       4.5826
  215.0    20.0000       4.4721
  217.5    27.0000       5.1962
  220.0    26.0000       5.0990
  222.5    18.0000       4.2426
  225.0    24.0000       4.8990
  227.5    19.0000       4.3589
  230.0    19.0000       4.3589
  232.5    20.0000       4.4721
  235.0    28.0000       5.2915
  237.5    20.0000       4.4721
  240.0    21.0000       4.5826
  242.5    21.0000       4.5826
  245.0    24.0000       4.8990
  247.5    13.0000       3.6056
  250.0    27.0000       5.1962
  252.5    23.0000       4.7958
  255.0    21.0000       4.5826
  257.5    27.0000       5.1962
  260.0    17.0000       4.1231
  262.5    15.0000       3.8730
  265.0    17.0000       4.1231
  267.5    11.0000       3.3166
  270.0    18.0000       4.2426
  272.5    19.0000       4.3589
  275.0    15.0000       3.8730
  277.5    23.0000       4.7958
  280.0    17.0000       4.1231
  282.5    15.0000       3.8730
  285.0    18.0000       4.2426
  287.5    18.0000       4.2426
  290.0    20.0000       4.4721
  292.5    17.0000       4.1231
  295.0    16.0000       4.0000
  297.5    19.0000       4.3589
  300.0    16.0000       4.0000
  302.5    11.0000       3.3166
  305.0    14.0000       3.7417
  307.5    22.0000       4.6904
  310.0    14.0000       3.7417
  312.5    16.0000       4.0000
  315.0    19.0000       4.3589
  317.5    13.0000       3.6056
  320.0    14.0000       3.7417
  322.5     4.0000       2.0000
  325.0    14.0000       3.7417
  327.5    13.0000       3.6056
  330.0    20.0000       4.4721
  332.5    15.0000       3.8730
  335.0    12.0000       3.4641
  337.5    13.0000       3.6056
  340.0    19.0000       4.3589
  342.5    11.0000       3.3166
  345.0     5.0000       2.2361
  347.5    13.0000       3.6056
  350.0    16.0000       4.0000
  352.5    14.0000       3.7417
  355.0    15.0000       3.8730
  357.5     7.0000       2.6458
  360.0    10.0000       3.1623
  362.5    11.0000       3.3166
  365.0     8.0000       2.8284
  367.5    12.0000       3.4641
  370.0    12.0000       3.4641
  372.5    14.0000       3.7417
  375.0     7.0000       2.6458
  377.5    14.0000       3.7417
  380.0    10.0000       3.1623
  382.5     9.0000       3.0000
  385.0    11.0000       3.3166
  387.5    15.0000       3.8730
  390.0     7.0000       2.6458
  392.5    13.0000       3.6056
  395.0     7.0000       2.6458
  397.5    13.0000       3.6056
  400.0     7.0000       2.6458
  402.5     8.0000       2.8284
  405.0    10.0000       3.1623
  407.5    13.0000       3.6056
  410.0    13.0000       3.6056
  412.5    10.0000       3.1623
  415.0    12.0000       3.4641
  417.5    11.0000       3.3166
  420.0     6.0000       2.4495
  422.5    12.0000       3.4641
  425.0     8.0000       2.8284
  427.5     7.0000       2.6458
  430.0    12.0000       3.4641
  432.5     5.0000       2.2361
  435.0     9.0000       3.0000
  437.5     8.0000       2.8284
  440.0     6.0000       2.4495
  442.5     6.0000       2.4495
  445.0     9.0000       3.0000
  447.5    10.0000       3.1623
  450.0     7.0000       2.6458
