    Turn#  VBS        VBS_Error
    1.0    16.1624    4.0955
    2.0    23.2076    3.0585
    3.0    23.9502    3.1530
    4.0    17.4494    3.7049
    5.0    25.5812    2.5161
    6.0    17.4964    3.7115
    7.0    19.9401    2.1476
    8.0    23.0908    2.9037
    9.0    18.0120    2.6365
   10.0    18.7558    3.5859
   11.0    17.1107    3.2933
   12.0    22.5110    2.4626
   13.0    20.8360    1.9666
   14.0    21.7422    2.2986
   15.0    22.0159    3.2710
   16.0    18.9715    2.0751
   17.0    23.3290    3.0954
   18.0    24.1932    3.0054
   19.0    15.5540    4.0563
   20.0    19.2715    3.5778
   21.0    18.1944    3.3824
   22.0    22.0875    3.6332
   23.0    21.2476    2.9745
   24.0    20.3612    3.1890
   25.0    18.1538    3.3440
   26.0    17.3388    1.8091
   27.0    20.4164    3.1236
   28.0    20.5518    4.1080
   29.0    23.0822    4.1649
   30.0    20.5509    3.5679
   31.0    18.5221    2.8556
   32.0    15.6306    3.0436
   33.0    22.3175    2.3386
   34.0    19.4438    2.5474
   35.0    17.9790    3.5640
   36.0    20.1682    3.4622
   37.0    20.9919    3.5849
   38.0    14.3570    2.3612
   39.0    19.5703    3.2174
   40.0    22.8711    2.6002
   41.0    18.4876    2.8218
   42.0    21.7381    3.0665
   43.0    22.8143    2.5175
   44.0    21.0278    3.2420
   45.0    15.8900    3.1852
   46.0    24.3492    2.2514
   47.0    18.4073    2.3645
   48.0    22.8227    2.6522
   49.0    21.8784    1.9720
   50.0    15.4436    3.6233
   51.0    21.4833    3.1750
   52.0    22.4177    3.0422
   53.0    20.3498    2.4532
   54.0    20.0238    2.3123
   55.0    17.7733    2.7017
   56.0    20.3468    4.0018
   57.0    20.9438    3.2538
   58.0    21.3582    3.7523
   59.0    21.4510    3.0398
   60.0    18.9174    3.3733
   61.0    15.7912    3.0261
   62.0    22.3581    2.8575
   63.0    21.4420    3.1078
   64.0    21.4626    2.6916
   65.0    24.1782    3.2479
   66.0    20.3525    2.2559
   67.0    19.5171    2.0965
   68.0    19.2785    2.2318
   69.0    19.8401    3.0951
   70.0    18.7886    4.0206
   71.0    23.4222    3.8837
   72.0    21.4768    3.4875
   73.0    18.3569    3.0824
   74.0    17.1940    3.1499
   75.0    22.8554    2.3120
   76.0    19.4778    2.0837
   77.0    21.5157    3.7693
   78.0    22.8586    2.3590
   79.0    18.2274    2.9362
   80.0    19.0122    2.6703
   81.0    13.6887    3.3979
   82.0    19.4139    3.4334
   83.0    20.6613    1.1384
   84.0    19.2467    3.4913
   85.0    22.6129    2.8017
   86.0    21.3013    3.1487
   87.0    22.3047    4.2273
   88.0    17.7214    4.3125
   89.0    20.5362    2.5006
   90.0    17.9742    3.0736
   91.0    20.3451    3.2568
   92.0    22.0675    3.2260
   93.0    17.4387    2.5687
   94.0    18.1028    2.6310
   95.0    20.8879    3.2129
   96.0    19.4312    2.3757
   97.0    19.1854    3.3732
   98.0    19.6760    3.9002
   99.0    17.9540    3.1839
  100.0    22.8784    2.4623
  101.0    19.8598    2.2408
  102.0    17.6722    2.0954
  103.0    17.6631    3.2298
  104.0    19.3996    3.3644
  105.0    22.5693    3.2266
  106.0    21.9387    3.4719
  107.0    25.8933    3.4733
  108.0    16.2700    3.1849
  109.0    21.6685    3.5892
  110.0    22.0428    2.6926
  111.0    20.0692    3.2157
  112.0    20.5393    4.2681
  113.0    15.9887    3.5348
  114.0    22.9661    2.6309
  115.0    21.2391    2.9444
  116.0    17.4164    3.0629
  117.0    24.1703    2.7505
  118.0    21.5688    2.2992
  119.0    17.6959    2.2256
  120.0    16.4133    2.4109
  121.0    17.7509    2.7237
  122.0    15.8912    2.6832
  123.0    18.0627    2.5039
  124.0    19.2079    3.7324
  125.0    19.9880    3.2631
  126.0    23.9637    3.4279
  127.0    20.3235    3.6788
  128.0    25.5747    2.6769
  129.0    22.1209    2.4913
  130.0    16.8788    2.5766
  131.0    19.8157    1.7739
  132.0    16.0035    2.9643
  133.0    21.5014    3.4909
  134.0    21.0934    2.8876
  135.0    21.3250    4.5580
  136.0    24.9420    2.9629
  137.0    23.5361    2.6121
  138.0    20.8770    3.0903
  139.0    21.9082    2.2407
  140.0    21.5606    3.1054
  141.0    20.8219    2.3571
  142.0    19.0161    2.0349
  143.0    18.1653    2.3938
  144.0    19.1259    3.1058
  145.0    22.1199    2.3318
  146.0    20.7341    3.6791
  147.0    22.4033    2.0035
  148.0    21.8300    2.8945
  149.0    23.4535    3.5808
  150.0    19.1279    3.1684
  151.0    21.2771    1.4618
  152.0    18.4650    2.7528
  153.0    17.1381    1.6048
  154.0    22.1001    2.6164
  155.0    22.9304    2.4011
  156.0    22.3828    3.4397
  157.0    21.3997    2.3513
  158.0    19.5542    2.7063
  159.0    17.6003    2.7219
  160.0    15.9471    2.9016
  161.0    19.5064    2.4804
  162.0    21.5933    2.3446
  163.0    19.3795    3.3281
  164.0    20.5331    1.5016
  165.0    18.0690    2.7462
  166.0    18.6167    2.1544
  167.0    19.8922    2.8952
  168.0    23.1990    3.0701
  169.0    21.7637    2.9185
  170.0    15.4363    2.0792
  171.0    18.1215    2.7289
  172.0    21.4409    2.4785
  173.0    18.4280    3.1599
  174.0    18.5949    2.2322
  175.0    18.6149    2.5748
  176.0    21.7279    3.1387
  177.0    21.3648    2.7127
  178.0    25.2918    3.0682
  179.0    17.7004    2.1727
  180.0    20.2466    2.7458
  181.0    16.6203    2.7064
  182.0    15.9300    3.4265
  183.0    24.8593    3.4626
  184.0    19.1921    3.8498
  185.0    20.7276    1.6131
  186.0    19.6384    3.0492
  187.0    21.4055    2.8973
  188.0    22.9343    2.1698
  189.0    26.1480    3.8451
  190.0    19.3831    3.1800
  191.0    17.8183    2.4183
  192.0    20.1904    3.6160
  193.0    22.3146    4.3322
  194.0    19.1854    2.8606
  195.0    13.1642    2.8072
  196.0    20.3653    3.0236
  197.0    18.3809    2.1954
  198.0    18.9725    4.3753
  199.0    17.6774    3.0017
  200.0    17.1059    3.7278
  201.0    21.9661    3.1002
  202.0    19.8812    3.9243
  203.0    21.4444    2.9978
  204.0    20.3417    3.9619
  205.0    21.2371    3.1680
  206.0    21.4214    2.9384
  207.0    17.5319    3.2298
  208.0    15.9443    2.5662
  209.0    22.6449    2.5659
  210.0    20.6753    2.8655
  211.0    20.6936    3.2647
  212.0    18.7477    1.6721
  213.0    22.5529    2.6513
  214.0    20.7120    3.6060
  215.0    17.2940    3.7851
  216.0    21.8529    3.0765
  217.0    19.1030    3.7532
  218.0    21.1145    3.3327
  219.0    26.7322    3.3466
  220.0    22.9413    2.9683
  221.0    24.5057    2.9406
  222.0    17.5125    2.9896
  223.0    15.7099    3.7860
  224.0    17.0396    3.1760
  225.0    22.2859    3.3017
  226.0    20.9339    2.4597
  227.0    19.8624    3.5815
  228.0    18.0910    2.2277
  229.0    18.2533    3.5340
  230.0    19.3136    3.1393
  231.0    15.6379    2.5171
  232.0    18.2513    2.2088
  233.0    22.9349    3.6499
  234.0    16.0820    3.1562
  235.0    17.5861    2.8964
  236.0    20.1142    4.0685
  237.0    20.9261    2.5897
  238.0    22.0785    3.5475
  239.0    20.3458    4.4014
  240.0    19.5831    2.7131
  241.0    21.3655    2.1861
  242.0    18.9712    2.6625
  243.0    23.4162    3.4418
  244.0    21.5189    3.5749
  245.0    22.2485    3.0204
  246.0    16.4604    1.9495
  247.0    20.0945    4.0397
  248.0    22.0775    3.6548
  249.0    24.4845    2.6968
  250.0    18.4159    3.6887
  251.0    18.2074    4.3750
  252.0    22.2265    2.6029
  253.0    19.0662    3.3262
  254.0    21.7822    3.7303
  255.0    20.8499    2.3658
  256.0    20.2329    2.0399
  257.0    21.4405    3.3575
  258.0    20.3667    2.4214
  259.0    23.1829    3.6175
  260.0    18.2203    2.1661
  261.0    22.5106    3.3803
  262.0    20.0898    3.1596
  263.0    21.7429    2.7305
  264.0    23.8848    3.2167
  265.0    18.0838    2.6916
  266.0    23.7613    2.5938
  267.0    17.3488    3.7217
  268.0    20.7981    4.3772
  269.0    19.3302    3.3988
  270.0    19.9516    3.2702
  271.0    16.0256    3.1560
  272.0    21.9078    2.9964
  273.0    19.1008    3.0162
  274.0    14.7769    3.7762
  275.0    20.8554    3.3441
  276.0    21.6368    3.1793
  277.0    23.5459    2.3007
  278.0    19.8133    3.6776
  279.0    19.9636    3.4018
  280.0    15.9503    3.2180
  281.0    22.7085    1.5999
  282.0    19.4109    2.2168
  283.0    17.4245    3.3705
  284.0    22.7256    2.8691
  285.0    18.7019    4.1264
  286.0    19.7847    3.2379
  287.0    19.1302    3.3171
  288.0    16.9446    3.0135
  289.0    17.7857    2.8802
  290.0    21.7238    4.2246
  291.0    18.8699    3.3333
  292.0    18.8574    3.0559
  293.0    26.9565    3.1133
  294.0    18.5076    3.6264
  295.0    22.3120    2.0490
  296.0    18.3998    2.7200
  297.0    19.3658    3.0656
  298.0    18.5991    3.2709
  299.0    21.1769    2.4734
  300.0    20.9398    2.2988
  301.0    22.0622    2.8663
  302.0    21.8001    2.3791
  303.0    21.9547    2.8273
  304.0    19.8184    2.8302
  305.0    21.6781    4.1267
  306.0    22.2402    3.0184
  307.0    18.1311    3.0525
  308.0    17.5060    2.9454
  309.0    22.3552    2.9453
  310.0    22.9819    2.6886
  311.0    21.0939    3.2063
  312.0    16.4996    2.6738
  313.0    22.5123    2.2889
  314.0    19.6169    2.3911
  315.0    17.5512    2.4241
  316.0    22.0578    3.0041
  317.0    20.9353    2.6530
  318.0    19.6884    3.5231
  319.0    16.7813    2.5259
  320.0    22.5514    4.0590
  321.0    17.8420    3.2746
  322.0    16.8828    3.4111
  323.0    20.3328    2.3664
  324.0    21.2724    3.7903
  325.0    19.6060    2.4384
  326.0    17.2051    2.2238
  327.0    20.9961    3.2121
  328.0    18.0411    3.4713
  329.0    17.3360    3.9296
  330.0    14.6807    2.8289
  331.0    21.8833    3.0077
  332.0    20.1227    2.6822
  333.0    24.9131    2.7123
  334.0    21.7450    3.7570
  335.0    19.1506    3.9054
  336.0    21.1098    2.0701
  337.0    18.8218    2.9092
  338.0    21.5948    3.4454
  339.0    21.7427    2.0956
  340.0    16.1856    3.8409
  341.0    22.0586    3.2576
  342.0    23.8655    4.1543
  343.0    18.0693    3.0262
  344.0    21.0777    3.0752
  345.0    20.5070    3.1213
