% nonlinear oscillator
%
% time (sec)       theta (rad)
  0.00000000      -0.17374786
  0.01871246      -0.09583324
  0.73871836       0.27317633
  2.75820177       0.19150117
  4.81004439       0.29701032
  6.89030314       0.87807053
  8.92429235      -0.32091381
 10.93226489      -0.35590173
 12.92998979       1.13841327
 14.89935298      -0.35281268
 16.86061332      -0.32002211
 18.84598322       0.07052228
 20.83354086       0.28228063
 22.78650326      -0.19052426
 24.73959179       0.47801291
 26.72522909      -0.47194754
 28.70773169      -0.64527343
 30.66152466      -0.07306476
 32.61429058       0.24198707
 34.59708172      -1.12865937
 36.58290825      -1.23551231
 38.53405367       0.17038691
 40.48611400      -0.70624745
 42.47145396       0.64208146
 44.45374515       0.46093835
 46.40731562      -0.35621261
 48.35995822      -0.67765380
 50.34270818       0.25848270
 52.32850225      -0.23921055
 54.27961957       0.81829094
 56.23166210       0.17179809
 58.21699024       0.13695324
 60.19927393       0.50544247
 62.15283646       0.54289530
 64.10547338      -0.16752895
 66.08821783      -0.09215366
 68.07400340       0.06982653
 70.02511794      -0.52516204
 71.97715698       0.13350699
 73.96247736      -0.11248332
 75.94475644       0.13257745
 77.89831407      -0.85032979
 79.85094698      -0.80560651
 81.83368643       0.11015116
 83.81946386      -0.30989275
 85.77057598       0.55057679
 87.72261174       0.81152903
 89.70792441      -0.53455332
 91.69019894      -0.80521161
 93.64375172       0.12761988
 95.59638064       0.04774950
 97.57911510      -0.67065152
 99.56488440       0.13709984
101.51599411       0.09441196
103.46802660       0.51829796
105.45333158      -0.21414060
107.43560155      -0.03463740
109.38914949      -0.30941421
111.34177443      -0.18320213
113.32450391       0.26168380
115.31026509      -0.37954768
117.26137240      -0.03543559
119.21340160       0.06981613
121.19869890       0.22456932
123.18096433      -0.23732489
125.13450743       0.57102111
127.08712840      -0.02321424
129.06985290       0.64980793
131.05560597       0.77848709
133.00671087       0.42683750
134.95873681      -0.53761351
136.94402643      -0.57071670
138.92628732       0.13774774
140.87982558      -0.29097509
142.83244258       0.19942590
144.81516211       0.30496732
146.80090708       0.40476317
148.75200958       0.67561645
150.70403225       0.43992032
152.68931421      -0.05658076
154.67157056      -0.87217125
156.62510400      -0.29139700
158.57771703      -0.41301875
160.56043160      -0.48620612
162.54616847      -0.07381109
164.49726857       0.48604542
166.44928799      -0.35102022
168.43456228       0.17206563
